,hashtags,link,tweet,sentiment
17,"['#covidー19', '#coronavirus', '#maharashtrafightscorona', '#medicalmaharashtra', '#medd', '#coronaupdatesindia', '#unlockingindia', '#unlock1', '#mumbaifightscovid19', '#stayhomestaysafesavelives', '#covid19india', '#unlockindia']",https://twitter.com/Maha_MEDD/status/1272796975788785665,a map prepared by csir neeri mumbai showing covid cases in maharashtra th june coronavirus maharashtrafightscorona medicalmaharashtra medd coronaupdatesindia unlockingindia unlock mumbaifightscovid stayhomestaysafesavelives covid india unlockindia,neutral
18,"['#foodaid', '#coronawarriors', '#unlock1', '#indiafightscorona', '#indiafightscovid19']",https://twitter.com/Sunshiinegal/status/1272774541060653056,appreciating our volunteers for tireless efforts during last two months in ensuring food to the needy during covid lockdown distribution on rainy day of th june at kamathipura mumbai foodaid coronawarriors unlock indiafightscorona indiafightscovid,sadness
19,"['#mybmc', '#lockdown', '#unlock1', '#unlockingindia', '#mumbai', '#covid19india']",https://twitter.com/susanmuchhala/status/1272756157174571008,its amazing how everyone gets away with trash like this cheers mumbai mybmc lockdown unlock unlockingindia mumbai covid india at anglo eastern ship management,happiness
20,"['#परिस्थिति', '#तसल्ली', '#संपर्क', '#नेटवर्क', '#ripshushantsinghrajput', '#2020worstyear', '#mumbai', '#coronavirusindia', '#unlock1']",https://twitter.com/abhishe35546691/status/1272746166766063626,ripshushantsinghrajput worstyear mumbai coronavirusindia unlock,neutral
21,['#unlock1'],https://twitter.com/ChaitanyaThor8/status/1272723524445036544,flying dragons have been let out of the prison as the blood hounds were confused that who are the essential service people lets see what these dragons have for us which the mumbai airport will handle from today unlock,sadness
22,"['#kolkata', '#lockdownextension', '#unlock1', '#indiafightscoronavirus']",https://twitter.com/BulletinHours/status/1272602618854903808,nearly of kolkata residents favour total lockdown for another month says survey delhi chennai mumbai residents have also asked for a complete shutdown kolkata lockdownextension unlock indiafightscoronavirus,neutral
23,[],https://twitter.com/NewsParho/status/1272600252651057153,unlock mumbai could soon see an increase in flight operations coronavirus latest news,neutral
24,"['#mukeshambani', '#india', '#company', '#coronavirus', '#lockdown', '#unlock1', '#agreementwithnetflix', '#digitalcontentbusiness', '#pmmodi', '#economy', '#tax', '#congress', '#bjp', '#amitshah', '#mumbai', '#ottservice', '#jio', '#netflixsubscriber']",https://twitter.com/IBS_MediaNews/status/1272580126203473921,mukesh ambani will now have an agreement with netflix mukeshambani india company coronavirus lockdown unlock agreementwithnetflix digitalcontentbusiness pmmodi economy tax congress bjp amitshah mumbai ottservice jio netflixsubscriber,neutral
25,"['#mumbai', '#covid_19', '#maharashtra', '#unlock1', '#we']",https://twitter.com/payaltalk/status/1272541440321568768,mumbai covid maharashtra unlock we,neutral
26,['#unlock1'],https://twitter.com/JayKhuthia/status/1272531230513262592,mumbai trying to get back on its feet and so is the traffic unlock,neutral
27,"['#justin', '#passenger', '#domesticflights', '#unlock1', '#mumbai']",https://twitter.com/anandaditya/status/1272507950741905408,justin starting june will cater to a total of domestic commercial passenger flight movements which includes departures and arrivals domesticflights unlock mumbai,neutral
28,"['#passenger', '#domesticflights', '#unlock1', '#mumbai']",https://twitter.com/anandaditya/status/1272507720122249217,starting june will cater to a total of domestic commercial passenger flight movements which includes departures and arrivals domesticflights unlock mumbai,neutral
29,"['#unlock1', '#coronavirus']",https://twitter.com/akshaysatardek3/status/1272502830763515904,traffic on eastern express near sion unlock is going to be miserable for mumbai coronavirus,neutral
30,"['#stayhomestaysafe', '#unlock1']",https://twitter.com/phimanshi45/status/1272477080161157121,mumbai local trains services are resumed from monday today th june the mumbai local trains were stopped in the month of march and after a long pandemic services are resumed with many does and don t stayhomestaysafe unlock,sadness
31,"['#covidー19', '#parbhanifightscorona', '#coronavirusindia', '#maharashtrafightscorona', '#medicalmaharashtra', '#coronaupdatesindia', '#unlockingindia', '#unlock1', '#stayhomestaysafesavelives', '#covid19india', '#unlockindia']",https://twitter.com/ParbhaniInfo/status/1272475509377531904,a map prepared by csir neeri mumbai showing covid cases in maharashtra th june parbhanifightscorona coronavirusindia maharashtrafightscorona medicalmaharashtra coronaupdatesindia unlockingindia unlock stayhomestaysafesavelives covid india unlockindia,neutral
32,"['#mumbai', '#unlock1']",https://twitter.com/Divya_Bhaskar/status/1272456260844089347,mumbai unlock,neutral
33,"['#maharashtra', '#mumbai', '#coronavirus', '#unlock1']",https://twitter.com/NewsMobileIndia/status/1272455935152156673,maharashtra local trains restart in mumbai heres all you need to know coronavirus unlock,neutral
34,"['#livemint', '#epass', '#localtrain', '#mumbai', '#ivyasa', '#covid19', '#covid19india', '#unlock1']",https://twitter.com/ivyasaa/status/1272445454861479937,mumbai local starts today e pass to train timings know new rules of travelling livemint epass localtrain mumbai ivyasa covid covid india unlock,worry
35,"['#mumbai', '#mumbailocal', '#localtrains', '#maharashtra', '#covid19', '#lockdown', '#unlock1', '#mumbailocalstarts']",https://twitter.com/newsexpresslive/status/1272436779530874881,mumbai life line local train mumbai mumbailocal localtrains maharashtra covid lockdown unlock mumbailocalstarts,sadness
36,"['#mumbai', '#doctors', '#policeworkers', '#india', '#covid19', '#lockdown', '#essential', '#maharashtra', '#unlock1', '#indiafightscovid19', '#coronaupdatesinindia', '#indiafightscorona']",https://twitter.com/NEWSinfer/status/1272431069439000579,mumbai local trains start from today for people in essential services mumbai news hindustan times mumbai doctors policeworkers india covid lockdown essential maharashtra unlock indiafightscovid coronaupdatesinindia indiafightscorona,neutral
37,"['#mumbailocals', '#mumbai', '#unlock1', '#covid19india', '#coronavirus', '#realnews', '#westbengal', '#eisamay']",https://twitter.com/Ei_Samay/status/1272427604310515713,mumbailocals mumbai unlock covid india coronavirus realnews westbengal eisamay,neutral
38,"['#lockdown', '#covid19india', '#depression', '#2020worstyear', '#mondaymotivation', '#covid_19india', '#india', '#pmmodi', '#poll', '#polls', '#pandemic', '#coronavirusindia', '#economy', '#unlock1', '#socialdistancing', '#pmcaresfund', '#maharashtra', '#mumbai', '#pmc']",https://twitter.com/dhake_narendra/status/1272422267964751872,do you think there should be a lockdown again to mitigate the covid india situation depression worstyear mondaymotivation covid india india pmmodi poll polls pandemic coronavirusindia economy unlock socialdistancing pmcaresfund maharashtra mumbai pmc,sadness
39,"['#covid19', '#coronawarriors', '#togetheragainstcovid19', '#swasthabharat', '#healthforall', '#unlock1']",https://twitter.com/PIBMumbai/status/1272415327180079107,let s be grateful to the real life heroes who are ensuring that we stay safe from covid our heroes are our coronawarriors togetheragainstcovid swasthabharat healthforall unlock,joy
40,"['#unlock1', '#mumbai']",https://twitter.com/DainikBhaskar/status/1272410519475900416,unlock mumbai,neutral
41,"['#lockdown2020', '#unlock1']",https://twitter.com/MumbaiTimesMT/status/1272400677248143374,lockdown unlock,neutral
42,"['#unlock1', '#beginagain']",https://twitter.com/SawantSanjyot/status/1272397786877693952,many bank employees are not allowed to use mumbai local essential service please clarify unlock beginagain,neutral
43,"['#oneplus6t', '#photographers_of_india', '#shutterhubindia', '#shuttersofindia', '#phonephotography', '#india_gram', '#incredibleindia', '#picoftheday', '#bloom', '#hopeforthebest', '#indianshutterbugs', '#mumbai', '#mumbaidiaries', '#happiness', '#unlock1']",https://twitter.com/addymitra/status/1272391819435757568,oneplus t photographers of india shutterhubindia shuttersofindia phonephotography india gram incredibleindia picoftheday bloom hopeforthebest indianshutterbugs mumbai mumbaidiaries happiness unlock,neutral
44,"['#unlock1', '#mumbai']",https://twitter.com/21Kaustubh/status/1272389154135932930,mumbai best buses to operate on feeder routes unlock mumbai,happiness
45,['#unlock1'],https://twitter.com/21Kaustubh/status/1272388673380610048,mumbai railways resume suburban train services for essential staff unlock,neutral
46,['#unlock1'],https://twitter.com/ndtv/status/1272378372920799232,watch some local trains in mumbai begin operations for essential staff from today read more here unlock,neutral
47,"['#mumbaifightscovid19', '#unlock1']",https://twitter.com/news24tvchannel/status/1272362002002833408,mumbai mumbaifightscovid unlock,neutral
48,"['#covid_19', '#coronavirus', '#mumbai', '#june9', '#maharashtrafightscorona', '#indiafightscovid19', '#newdelhi', '#breaking_news', '#lockdown5', '#unlock1', '#lockdownextention']",https://twitter.com/ItvBharat/status/1272210579277484032,covid coronavirus mumbai june maharashtrafightscorona indiafightscovid newdelhi breaking news lockdown unlock lockdownextention,neutral
49,"['#coronavirus', '#missionbeginagain', '#unlock1']",https://twitter.com/mumbaimatterz/status/1272198184844976129,mumbai coronavirus updates missionbeginagain unlock suspected positive total positive patients deaths discharged today deaths in the city since recovery rate tests till june tests on th,worry
50,['#unlock1'],https://twitter.com/dilip2git/status/1272163317843443713,unlock,neutral
51,"['#indiafightscorona', '#indiafightscovid19', '#delhi', '#mumbai', '#pune', '#bengaluru', '#chennai', '#modi', '#chembur', '#covid19india', '#thane', '#up', '#coronavirusindia', '#indian', '#maharashtra', '#unlock1', '#lockdownfailed', '#gujarat', '#lockdown5', '#icmr', '#indiafightscoronavirus']",https://twitter.com/bluetreelakes/status/1272068335048351744,clear do s don ts are needed for indiafightscorona indiafightscovid delhi mumbai pune bengaluru chennai modi chembur covid india thane up coronavirusindia indian maharashtra unlock lockdownfailed gujarat lockdown icmr indiafightscoronavirus,neutral
52,"['#lockdown5', '#delhi', '#mumbai', '#lockdownextension', '#unlock1', '#covididiots']",https://twitter.com/blood_punjabi/status/1272066388731949056,contemplating another lockdown in this week it will be a total shut especially for delhi mumbai chances of hm taking charge of delhi lockdown delhi mumbai lockdownextension unlock covididiots,sadness
53,"['#mumbai', '#mumbaiunlock1']",https://twitter.com/TOIMumbai/status/1272053820374183937,deserted csmt in mumbai mumbaiunlock,neutral
54,"['#unlock1', '#maharashtra', '#coronavirus', '#mumbai', '#sundaythoughts']",https://twitter.com/Thetrueshittys1/status/1272037662589947904,indian people just remember this pandemic period no religion institution temples have came forward to help even though that could have been financial you they have thousand of crores ample of golds unlock maharashtra coronavirus mumbai sundaythoughts,worry
55,"['#contestalert', '#film', '#movie', '#movies', '#bollywoodmovies', '#bollywood', '#meme', '#contestalert', '#giveaway', '#unlock1', '#vyaparappcontest', '#2020goals']",https://twitter.com/rjanardhan/status/1272020337824108545,once upon a time in mumbai contestalert film movie movies bollywoodmovies bollywood meme contestalert giveaway unlock vyaparappcontest goals l,happiness
56,"['#unlock1', '#cautionyespanicno', '#coronavirusoutbreak']",https://twitter.com/TOIMumbai/status/1271993864681750529,if you are missing the toi s print edition click here to read the toi epaper and your city edition unlock cautionyespanicno coronavirusoutbreak,sadness
57,"['#factofactcheck', '#mumbai', '#unlock1']",https://twitter.com/FactoNewsHindi/status/1271874102937047041,factofactcheck mumbai unlock,neutral
58,"['#bepositive', '#lifestyle', '#rohitmehta', '#rohitmehtaactor', '#unlock1']",https://twitter.com/RohitMehtaActor/status/1271862517397102593,my attitude is that if you push me towards something that you think is a weakness then i will turn that discern weakness into a strength bepositive lifestyle rohitmehta rohitmehtaactor unlock mumbai,joy
59,"['#covid19', '#mumbai', '#unlock1', '#unleash', '#hustle']",https://twitter.com/vinit9489/status/1271844515855261703,stop just stop following idiotic news which shows number of cases increasing total number of cases etc let s not discuss even if we know wear your masks keep your distance let s work hard to get busy get going covid mumbai unlock unleash hustle,neutral
60,"['#coronavirus', '#missionbeginagain', '#unlock1']",https://twitter.com/mumbaimatterz/status/1271823714254897152,mumbai coronavirus updates missionbeginagain unlock suspected positive total positive patients deaths discharged today deaths in the city since,worry
61,"['#mumbai', '#bollywood', '#unlock1']",https://twitter.com/abpanandatv/status/1271777364830310400,mumbai bollywood unlock,neutral
62,"['#stayhomestaysafe', '#unlock1', '#mumbai']",https://twitter.com/Arundhativeera/status/1271769176907100160,stayhomestaysafe unlock mumbai,neutral
63,"['#mumbai', '#mumbaifightscovid19', '#unlock1']",https://twitter.com/dhirendrasgala/status/1271765923670528001,ward wise coronavirus positive cases discharged active cases details highest growth rate of against cases mumbai mumbaifightscovid unlock,worry
64,"['#gulabositabo', '#moviereview', '#mediareport', '#bollywood', '#actor', '#mumbai', '#coronavirus', '#lockdown', '#unlock1', '#india', '#pmmodi', '#ottplatform', '#amazonprimevideo', '#amitabhbachchan', '#ayushmannkhurrana', '#juhichaturvedi']",https://twitter.com/IBS_MediaNews/status/1271751105442017283,gulabo sitabo movie review by ibs india business story gulabositabo moviereview mediareport bollywood actor mumbai coronavirus lockdown unlock india pmmodi ottplatform amazonprimevideo amitabhbachchan ayushmannkhurrana juhichaturvedi,joy
65,"['#ajayfilmbhujintheatres', '#india', '#coronavirus', '#lockdown', '#unlock1', '#bollywood', '#moview', '#mumbai', '#actor', '#salmankhan', '#bhuj', '#ajaydevgn', '#ottplatform', '#amazonprimevideo', '#fans', '#singham', '#twitter', '#1971indopakistanwar', '#film']",https://twitter.com/IBS_MediaNews/status/1271750269097766912,fans want to see ajays film bhuj in theatres ajayfilmbhujintheatres india coronavirus lockdown unlock bollywood moview mumbai actor salmankhan bhuj ajaydevgn ottplatform amazonprimevideo fans singham twitter indopakistanwar film,sadness
66,"['#veenadevelopers', '#veenasamrajya', '#realestate', '#property', '#dreamhome', '#affordablehomes', '#palghar', '#staysafe', '#properties', '#mumbai', '#booknow', '#unlock1', '#homes', '#infrastructure', '#amenities', '#khudkaghar']",https://twitter.com/veena_developer/status/1271725580510040064,for more information call or simply log on to veenadevelopers veenasamrajya realestate property dreamhome affordablehomes palghar staysafe properties mumbai booknow unlock homes infrastructure amenities khudkaghar,sadness
67,"['#unseenphotos', '#unlock1']",https://twitter.com/vinayrofficial/status/1271674066471137280,unseenphotos mumbai the cases are raising day by day after unlock yesterday around k cases which is highest in a single day please do not gather anywhere maintain social distancing wear mask and follow,worry
68,"['#unlock1', '#coronavirus', '#communityspread', '#saturdaythoughts', '#mumbai', '#delhi']",https://twitter.com/amarbutala/status/1271667565807276033,when does parliament open again asking because were opening everything else up im hoping parliament will also open up for business unlock coronavirus communityspread saturdaythoughts mumbai delhi,worry
69,"['#lockdown5', '#unlock1', '#mumbai']",https://twitter.com/LoksattaLive/status/1271660206733185025,lockdown unlock mumbai,neutral
70,"['#sky', '#unlock', '#unlock1', '#mumbai', '#mumbailockdown', '#mumbaiunlock', '#maibhisadakchap', '#mobilephotography', '#instamumbai', '#shades', '#shadesofsky', '#sun', '#sunset']",https://twitter.com/gogesh/status/1271490138695176193,the same sky has different shades everyday so does life shades of sky unlock unlock mumbai mumbailockdown mumbaiunlock maibhisadakchap mobilephotography instamumbai shades shadesofsky sun sunset,neutral
71,"['#marinedrive', '#mumbai', '#india', '#instagram', '#maharashtra', '#photography', '#sea', '#ig', '#mumbaikar', '#bombay', '#bandra', '#unlock1', '#mumbaimerijaan', '#churchgate', '#marinedrivemumbai', '#love', '#mumbailove', '#ilovemumbai']",https://twitter.com/narvekar_raj/status/1271467887715405825,unlock marinedrive mumbai india instagram maharashtra photography sea ig mumbaikar bombay bandra unlock mumbaimerijaan churchgate marinedrivemumbai love mumbailove ilovemumbai,neutral
72,['#unlock1'],https://twitter.com/bhumika_t/status/1271458023941320704,hi there how s the unlock going for you for me things are the same like in lockdown except getting some deliveries now but downstairs no one is allowed inside the building yet i think mumbai will take additional months to unlock once wh,worry
73,"['#जनता_जिम्मेदार', '#coronavirus', '#unlock1', '#mumbai', '#delhi']",https://twitter.com/SkRaut10/status/1271457601306259456,coronavirus unlock mumbai delhi,neutral
74,"['#factofactcheck', '#mumbai', '#unlock1']",https://twitter.com/Facto_news/status/1271448283882254336,claim media reported that maharashtra will have another lockdown truth cm uddhav thackrey clarified no intention of another lockdown and asked people to stay safe and take care factofactcheck mumbai unlock,sadness
75,"['#mumbailockdown', '#mumbai', '#mumbaipolice', '#lockdownextension', '#unlock1', '#unlock2', '#mahabharata']",https://twitter.com/GautamGada1/status/1271435604794896386,so we really needed this at this time of crisis retweet mumbailockdown mumbai mumbaipolice lockdownextension unlock unlock mahabharata,joy
76,"['#shaktikapoor', '#shraddhakapoor', '#siddhanthkapoor', '#shraddhakapoorfans', '#coronavirus', '#lockdown', '#covid19', '#actress', '#bollywood', '#unlock1', '#mumbai', '#ekdumviral']",https://twitter.com/ekdumviral/status/1271427047525502978,shakti kapoor reveals he won t allow shraddha kapoor and siddhanth kapoor to resume work shaktikapoor shraddhakapoor siddhanthkapoor shraddhakapoorfans coronavirus lockdown covid actress bollywood unlock mumbai ekdumviral,sadness
77,"['#lockdown', '#stayhomestaysafe', '#unlock1', '#mumbai']",https://twitter.com/jyotirai29/status/1271410458784706566,lockdown is lifted not because it s safe but our economy needs it stayhomestaysafe take it seriously unlock mumbai,neutral
78,"['#unlock1', '#covid19', '#indiafightscorona']",https://twitter.com/PIBMumbai/status/1271402844726235136,as we gradually open up and progress through unlock phase it is very important to not weaken our guard we need to follow behaviour which is appropriate for containment of covid infection indiafightscorona,neutral
79,"['#hillpopulationlesseffectedfromcovid19', '#india', '#population', '#delhi', '#binnyyadav', '#mosttrendingnews', '#mumbai', '#coronavirus', '#lockdown', '#unlock1', '#pmmodi', '#usa', '#china']",https://twitter.com/AsianNewsMakers/status/1271391385719984128,why is hill population less effected from covid by binny yadav click here to see full article hillpopulationlesseffectedfromcovid india population delhi binnyyadav mosttrendingnews mumbai coronavirus lockdown unlock pmmodi usa china,neutral
80,['#unlock1'],https://twitter.com/ndtv/status/1271388977266745345,mumbai shop are open amid staff shortage owners say hardly any customers unlock,sadness
81,"['#malad', '#bandra', '#andheri', '#unlock1', '#public', '#mumbai', '#coronavirus']",https://twitter.com/AdriftRider/status/1271383225227755520,we can t blame every time on government we should also take some responsibility their own here in malad back road side already couples seance started bandra andheri unlock public mumbai coronavirus,worry
82,"['#love', '#care', '#hope', '#together', '#beauty', '#unlock1', '#sobo', '#mumbai', '#india', '#anahitakapoor']",https://twitter.com/anahita_kapoor/status/1271381936783720450,the way i love myself do u also love me love care hope together beauty unlock sobo mumbai india anahitakapoor,joy
83,['#unlock1'],https://twitter.com/larryhert_10/status/1271381490870386688,finally trains must start in mumbai unlock,happiness
84,"['#unlock1', '#delhi', '#mumbai', '#covid19india', '#coronavirus']",https://twitter.com/patidarsom/status/1271372077723983874,as india reopens under unlock coronavirus infection continue to soar in big cities including delhi mumbai businesses like salons adapt to new normal covid india coronavirus do watch,neutral
85,['#unlock1'],https://twitter.com/FurkhanAhmedFk/status/1271366749460369409,life before and after unlock more people were out on the streets and traffic snarls made a comeback this combination picture shows mumbai s marine drive before and after lockdown,sadness
86,"['#segways', '#coronavirus', '#mumbaionlockdown', '#unlock1']",https://twitter.com/ZEE5News/status/1271361859002626048,mumbai police to patrol marine drive on segways in order to boost social distancing among people and reduce the spread of coronavirus mumbaionlockdown unlock watch,happiness
87,['#unlock1'],https://twitter.com/gujarati_mulgi/status/1271333083317284864,unlock has drowned mumbai cm is a big time failure,neutral
88,"['#lockdown5', '#unlock1', '#covid_19', '#corona', '#delhi', '#mumbai']",https://twitter.com/RisingIndore/status/1271321802417991683,lockdown unlock covid corona delhi mumbai,neutral
89,['#unlock1'],https://twitter.com/Im_MafiaPanda/status/1271319193770582016,mumbai unlock petrol ruk tere ko batata hoon rs,neutral
90,"['#homequarantine', '#mumbai', '#delhi', '#lucknow', '#chennai', '#bengaluru', '#indore', '#india', '#rajasthan', '#haryana', '#indians', '#lockdownindia', '#unlock1', '#modi', '#mumbaikar', '#pune', '#tamilnadu', '#jaipur', '#kolkata', '#up', '#ahmedabad', '#gujarat', '#maharashtra', '#thane', '#indian', '#chembur', '#navimumbai', '#gurgaon']",https://twitter.com/bluetreelakes/status/1271314519533342720,what is homequarantine mumbai delhi lucknow chennai bengaluru indore india rajasthan haryana indians lockdownindia unlock modi mumbaikar pune tamilnadu jaipur kolkata up ahmedabad gujarat maharashtra thane indian chembur navimumbai gurgaon,neutral
91,"['#unlock1', '#mumbai', '#bestbus']",https://twitter.com/LoksattaLive/status/1271299210046877698,unlock mumbai bestbus,neutral
92,"['#unlock1', '#relockdelhi']",https://twitter.com/SumanSaurabh007/status/1271250935465930752,the response of the citizens of delhi and mumbai after unlock is enough to understand why the situation is worsening so fast in these two metro cities the most idiotic senseless people are found in these cities and the blame goes to poor labourers for this relockdelhi,sadness
93,"['#socialdistancing', '#unlock1', '#queensnecklace', '#marinedrive']",https://twitter.com/RaoMandar/status/1271175167415332865,mumbai police at their best socialdistancing unlock queensnecklace marinedrive,neutral
94,"['#covid19', '#unlock1']",https://twitter.com/BalBolkhare/status/1271155589888897024,patients in mumbai in last hours stop public transport buses stop all kind of staff rushing to offices ask shopkeepeers to ensure customers observe social distancing act it should be release and break not just rash acceleration covid unlock,happiness
95,"['#sakal', '#sakalnews', '#viral', '#sakalmedia', '#news', '#mumbai', '#india', '#marathinews', '#maharashtra', '#unlock1', '#china', '#border']",https://twitter.com/SakalMediaNews/status/1271132815334260737,sakal sakalnews viral sakalmedia news mumbai india marathinews maharashtra unlock china border,neutral
96,"['#coronavirus', '#missionbeginagain', '#unlock1']",https://twitter.com/mumbaimatterz/status/1271107832792793088,mumbai coronavirus updates missionbeginagain unlock suspected positive total positive patients deaths discharged today deaths in the city since includes old deaths,sadness
97,"['#unlock1', '#mumbai', '#dombivli', '#kalyan']",https://twitter.com/Mumbaikar_Bhau/status/1271105727424159744,unlock mumbai dombivli kalyan,neutral
98,"['#verosva', '#mumbai', '#beach', '#unlock1', '#unlockindia', '#unlockingindia', '#lockdownextended']",https://twitter.com/sajeshsudhanshu/status/1271091398142377984,watch new vlog cricket match at versova beach day via verosva mumbai beach unlock unlockindia unlockingindia lockdownextended,happiness
99,"['#amul', '#chinaindiaborder', '#dailybriefings', '#keralaelephantmurder', '#kanganaranaut', '#lockdown5', '#mumbai', '#unlock1', '#vijaymallya', '#whitelifematters']",https://twitter.com/R_P_Khare/status/1271059394134831104,and their styles are highly irritating i cannot tolerate them for more than minutes amul chinaindiaborder dailybriefings keralaelephantmurder kanganaranaut lockdown mumbai unlock vijaymallya whitelifematters,sadness
100,['#jantacurfew'],https://twitter.com/Samruddhak107/status/1271058118814777344,as a responsible citizen of maharashtra starting mumbai local and unlock is really working daily covid count rising more than k in mumbai itself jantacurfew is require for min days threatening life,neutral
101,"['#unlock1', '#socialdistancing', '#crowd', '#mumbai']",https://twitter.com/TheMahaMTB/status/1271048583479873536,unlock socialdistancing crowd mumbai,neutral
102,"['#india', '#delhi', '#mumbai', '#marinedrive', '#lockdown', '#unlock1', '#unlockindia', '#beforeafter', '#covid__19', '#coronavirusupdates']",https://twitter.com/Odisha_Tweets/status/1271044024036519936,glimpses of life before and after unlock via india delhi mumbai marinedrive lockdown unlock unlockindia beforeafter covid coronavirusupdates,neutral
103,"['#update', '#mumbaisaga', '#unlock1', '#emraanhashmi', '#mumbaisaga', '#hyderabad', '#mumbai', '#bollywood', '#shooting', '#johnabraham', '#movietalkies', '#thursdayvibes']",https://twitter.com/MovieTalkies/status/1271039054683836416,update and s mumbaisaga among the first films to resume shoot in unlock gearing up for days hyderabad schedule in july emraanhashmi mumbaisaga hyderabad mumbai bollywood shooting johnabraham movietalkies thursdayvibes,neutral
104,"['#mumbai', '#unlock1', '#shotononeplus7pro']",https://twitter.com/krunaljoshii/status/1271036483227377664,never imagined bandra station to be this empty mumbai unlock shotononeplus pro at bandra railway station,sadness
105,"['#mumbai', '#unlock1', '#coronalockdown', '#મુંબઈ', '#કોરોના']",https://twitter.com/chitralekhamag/status/1271035093574807553,mumbai unlock coronalockdown,neutral
106,['#unlock1'],https://twitter.com/AnkitMadX/status/1271034504992272384,unlock stuck at bandra highway flyover for over mins as some work is on can t get away from mumbai traffic,sadness
