,emotion,tweet
102,joy,But the data is complicated    Only a handful of states account for most of the increase in TPR since  Unlock1   Delhi  Maharashtra  Tamil Nadu  Karnataka and Haryana  whose positivity rates more than doubled in recent weeks   6 7  pic twitter com Zui8wWT0d0
103,anger,Ppl from Delhi are asking for plasma like it s an apk    DelhiFightsCorona how can we without systems   CoronaLockdown has ended and we are now in  Unlock1  While India    is outraging on  CORONILBaba and  chinaindiaborder   PMCARES is creating more issues at  chinaindiaborder 
104,disgust,How Delhi s popular markets are coping up with weak demand post lockdown  Alisha Sachdev gets you details  Unlock1  COVID19  Alisha2494 https   www cnbctv18 com videos retail unlock 10 shops reopen in delhis karol bagh market see dismal footfalls heres a ground report 6198411 htm  
105,joy, UnlockingDiaries  After being home for months supermodel  sonalikasahay stepped out for lunch in  LodhiColony   We have to be responsible and careful  but we have to restart our lives   she says   SonalikaSahay  Unlock1  Delhi  https   timesofindia indiatimes com life style food news sonalika sahay steps out for lunch in delhi in unlock 1 praises restros for adapting to the new normal articleshow 76546530 cms  
106,sadness,Completely disregarding  Unlock1 guidelines in the national capital   Delhi BJP invited students of a primary school for launch of mask distribution campaign  They later termed it as a case of  overenthusiasm  for putting the students at risk   COVID19 https   www newindianexpress com cities delhi 2020 jun 23 bjps mask event in delhi draws glares 2160183 html  
107,joy,Delhi state govt  must never forget that they just let go of all strategies to combat the virus with Unlock1 0  Thank God that better sense prevailed and Centre was asked to intervene where they had failed  Cannot forget the grim stories that unfolded in the week after unlock1 0
108,joy,Coronavirus Live Updates News In Hindi Covid19 23th June Unlock1 Day Twenty Three  Corona Pandemic  World  Delhi  Maharashtra  Madhya Pradesh  Bihar  Kerala   Coronavirus Live Updates  24 घ ट  म   क र न  क  सबस  ज य द  14933 म मल   312 ल ग   क  म त  https   ajkatajanews com coronavirus live updates news in hindi covid19 23th june unlock1 day twenty three corona pandemic world delhi maharashtra madhya pradesh bihar kerala coronavirus live updates 24  e0 a4 98   
109,joy,Coronavirus Live Updates News In Hindi Covid19 23th June Unlock1 Day Twenty Three  Corona Pandemic  World  Delhi  Maharashtra  Madhya Pradesh  Bihar  Kerala   Coronavirus Live Updates  सऊद  अरब म   रह रह  व द श न गर क स म त स ख य  म   हज कर सक  ग   https   www thevairalnews com coronavirus live updates news in hindi covid19 23th june unlock1 day twenty three corona pandemic world delhi maharashtra madhya pradesh bihar kerala coronavirus live updates  e0 a4 b8   
110,disgust,Delhi Condition in Unlock 1 0 or Lockdown 5 0    Watch the Full Video at     https   youtu be TXKgBmOYlkQ   Unlock1  Lockdown5  Delhi  unlock2  lockdown pic twitter com kISN8ZU0am
111,sadness,Getting back home from a shoot and can see so much traffic everywhere in Delhi    Whatever happened to the pointless  night curfew    Coronavirus  Unlock1
112,sadness,Thanks for sharing these graphs  indeed a  ve sign    I suggest two cities Gurgaon   Noida because both are in close proximity of Delhi   a lot of influx Outflux daily   Gurgaon is particular is jeopardizing whole Haryana figures since Unlock1 0
113,fear, lockdown  Unlock1 was is also creative ground  My piece for the series  htTweets  https   hindustantimes com books unlockdown diaries the death of fomo by pooja pande story JGsOpZxFmp36WoiD1VJd3L htm    MondayMotivation  mondaythoughts  Delhi  Noida  Gurgaon pic twitter com 1eM8eFXTBV
114,joy,Obviously this is more important than let the people reach their offices for work  That s why they have sealed the  delhinoidaborder   Really smart strategy     delhi  noida  noidaborder  noidaborderissue  haryana  india  COVID19  Unlock1  opendelhi_noida  Gurugram
115,fear, https   youtu be 6lrPggGiGaw  They gave the real picture of Delhi govt  faliure  I feel like people of delhi should fear corona less and more to delhi government s fake commitments   ArvindKejriwal Being an IAS officer and a CM how can you let this happen and move to unlock1  wakeup
116,joy,Coronavirus Live Updates News In Hindi Covid19 22th June Unlock1 Day Twenty Two  Corona Pandemic  World  Delhi  Maharashtra  Madhya Pradesh  Bihar  Kerala   Coronavirus Live Updates  म  बई क  ठ ण  स  ट रल ज ल क  4 क  स ट बल क  र प र ट क र न  प ज ट व  https   www thevairalnews com coronavirus live updates news in hindi covid19 22th june unlock1 day twenty two corona pandemic world delhi maharashtra madhya pradesh bihar kerala coronavirus live updates  e0 a4 ae   
117,joy,So  COVIDー19 no longer has to attack  it s welcomed by those who suddenly feel it s cool to be out    Mumbai  Tahnee Heights  Napean Sea Rd   has 19 cases  South Mumbai highrises are new hotspots after  Unlock1 Ditto  Delhi  Pune  We ve unlocked the virus  folks   SundayThoughts
118,sadness,Itne time me toh log international border cross kar ke  noida me kaam karne aa Gaye the jitne me inse  delhinoidaborder ka issue nahi solve ho Raha     noidaborderissue  opendelhi_noidaborder  noidaborder  Unlock1  Unlock2  Delhi
119,joy,Coronavirus In India Live Updates News In Hindi Covid19 20th June Unlock1 Day Twenty  Corona Pandemic  Delhi  Maharashtra  Madhya Pradesh  Bihar  Kerala   Coronavirus In India Live Updates  म ज रम म   10 और असम म   102 नए म मल  स मन  आए  https   www vpnews24x7 com 2020 06 coronavirus in india live updates news in hindi covid19 20th june unlock1 day twenty corona pandemic delhi maharashtra madhya pradesh bihar kerala coronavirus in india live updates  e0 a4 ae html  
120,disgust,That s 15 days of  Unlock1 in delhi  https   twitter com saahilmenghani status 1273994851856420864  
121,sadness,Delhites   Our condition is extremely bad and we are responsible of it because we elected this govt   Mumbaikar   Our condition is even worse because we hadn t even elected this govt   COVID19India  Mumbai  delhi  coronavirus  Unlock1
122,sadness, Delhi  Coronavirus Update  Data of 18 June 2020  Confirmed cases  49979 Active cases  26669 New cases  2877 Recovered today  3884 Death today  65  COVID19India  CoronaUpdates  StayAtHome  COVIDー19  Unlock1  DelhiVsCorona  CMODelhi  ArvindKejriwal
123,anger, DrSJaishankar when will the german embassy in Delhi reopen for visa purposes   GermanyinIndia  COVID  Unlock1  visa  extension
124,anger,Delhi  Fire breaks out on the third floor of Rohini Court  9 fire tenders present at the spot  More details awaited   Delhi  fire  StaySafe  Unlock1  StayAlert  CMODelhi  AamAadmiParty
125,disgust,Om shanti  Jane kitne logo ki Jaan jayegi is  chinesevirus se and mismanagement se   unlock1 specially in Delhi isnt needed  Its uncontrolled now in  delhi  https   twitter com TajinderBagga status 1273389673717493760  
