tweet,emotion
"MakeMyStyles - Makes you feel yourself, relaxed and refreshed.

Follow the Steps and Book Your Favourite Nearest Salon in a Single Tap.
 https://lnkd.in/fkMATQG 
#kota
#jaipur
#Bangalore
#makemystyles
#mms
#Corona
#AatmaNirbharBharatAbhiyan
#COVID19
#Unlock1  pic.twitter.com/PVnAXZbzJF",joy
"India's tour of Sri Lanka - for three ODIs and three T20Is - in June will not go on as per schedule due to COVID-19 situation, SLC confirms

#INDvSL #COVID__19 #indvssl #SriLanka #Cricket #Bangalore #ElephantDeath #SGXNIFTY #Unlock1 @BCCI @CapitalIndia303 pic.twitter.com/cO757fPPFB",sadness
"The new Normal is to take precautions and stay hygeine! In our #CoronaAwareness sessions we found mny children not having footwear  http://also.So  v distributed few to these kids and the smile ws #WorthWatching ❤️🙏
#Bangalore #unlock1 @BangaloreMirror @BangaloreTimes1 pic.twitter.com/slbi8FS7Kr",joy
"Yeeaaayyy!!! And finally everything is open, up and running ... 💕💕💕

Photography: fashion_celebrity_photographer 
#unlock1 #feelingrelievedandhappy #letscelebrateandstaysafe @ Bangalore, India  https://www.instagram.com/p/CBS9jaDF0pb/?igshid=oszdvf5hn1z0 …",joy
"Now Maintain Social Distancing with Make My Styles 
 https://lnkd.in/fkMATQG 

Few simple steps and you’ll find yourself at your seat on time #salonbooking
#kota
#jaipur
#Bangalore
#makemystyles
#mms
#Corona
#AatmaNirbharBharatAbhiyan
#COVID19
#Unlock1  pic.twitter.com/n22Th1ePpp",joy
"dont spray droplets in my dosa..dining out in times of #coronavirus

Rohini Mohan (@rohini_mohan) Tweeted:
Glass partitions between diners in Bangalore. Everyone is very amused while waiting for their masala dosa. 
 #Unlock1 #Covid… https://lnkd.in/gqyd9tY   https://lnkd.in/gWfDXdB ",disgust
"Quarantine ward life of gujjus 

Gujjus can be happy anywhere.

Retweet

#quarantinetimepass #unlock2 #Unlock1 #Gujarat #Maharashtra #Lockdown5 #Bangalore #Coimbatore #IndianAirForce #Karachi #KatrinaKaif #MumbaiRains #Mumbai #SidNaaz #UPSC #VogueChallenge #MissYouYuvi pic.twitter.com/JPCWHIIu01",joy
"Crazy!👌👌👌
Sambar dip aa illa separate aa?? 
Just Bangalore things 😜😜🍛🍛
#bewarsikudka 👏#DanishSait #Unlock1  https://twitter.com/DanishSait/status/1270677153856630784 …",anger
"@RahmathGroup did not stop after lockdown 4, it started its Hunger Relief Drives in #Unlock1 from June 1 in KSR BANGALORE RLY STATION.
@suheb_Indian @drmsbc 8/n pic.twitter.com/y28nC5vm3w",fear
"Few simple steps and you’ll find yourself at your seat on time…Download our app to find out more. 

DownLoad for free now.

 https://lnkd.in/fkMATQG 
#Jaipur #Kota #bangalore #makemystyles #mms #quarantinedays #lockdown #sonusood #unlock1 #beautyindustry #hairstylist pic.twitter.com/sneo6bT57V",joy
".@nolanentreeo visits a restaurant, The Bangalore Cafe to find out how they are managing on the first day of #Unlock1
 Watch this report ! #ReporterDiary
 http://bit.ly/IndiaTodaySocial … pic.twitter.com/fVw6lzNApJ",joy
"Can we get more stupid than this?
Glass partitions between diners in Bangalore. India. 
 #Unlock1 #Covid19 pic.twitter.com/WZWqERZtf0",anger
"Glass partitions between diners in Bangalore. Everyone is very amused while waiting for their masala dosa. 
 #Unlock1 #Covid19 pic.twitter.com/97MI32ZhRF",joy
"#unlock1 started and traffic is back in Silicon Valley of #India #Bangalore This was in front of our #Coworking space at #MGRoad
#BackToOffice #lockdown #CoronavirusIndia pic.twitter.com/qv2QZ6beKk",anger
"My Experience driving from #Hyderabad to #Bangalore during #Unlock
 https://twitter.com/gupta__a/status/1269451522787565568 …
#InterStateTravel #Unlock1 #HydToBlr #SpreadAwareness #unlockone #Hyd2Blr #UnlockingIndia #unlock1point0 (1/?)",anger
"It's nice to know that Bangalore airport is doing their best in the circumstances as we cautiously  start flying again.
 #BLRairport #unlock1  https://youtu.be/A2byBUBa1TI  via @YouTube",joy
"Book your ride through WhatsApp by contacting +91 8076489254

#Unlock1 #IndiaFightsCorona #StayConnected #CabServices #Bangalore  pic.twitter.com/OJZxlECAvd",joy
"Book your ride through WhatsApp by contacting +91 8076489254

#Unlock1 #IndiaFightsCorona #StayConnected #CabServices #Bangalore  pic.twitter.com/NyIO2VY9So",joy
"Book your ride through WhatsApp by contacting +91 8076489254

#Unlock1 #IndiaFightsCorona #StayConnected #CabServices #Bangalore  pic.twitter.com/tubvSAdjj5",joy
"Book your ride through WhatsApp by contacting +91 8076489254

#Unlock1 #IndiaFightsCorona #StayConnected #CabServices #Bangalore  pic.twitter.com/VztTHNNWzw",joy
"Book your ride through WhatsApp by contacting +91 8076489254

#Unlock1 #IndiaFightsCorona #StayConnected #CabServices #Bangalore  pic.twitter.com/rSCG2nV2zv",joy
"Book your ride through WhatsApp by contacting +91 8076489254

#Unlock1 #IndiaFightsCorona #StayConnected #CabServices #Bangalore  pic.twitter.com/lVIPvURmET",joy
"Shantiniketan mall lit up after almost 3 long months!!
Feels good 

#bangalore #COVID19India #Unlock1  pic.twitter.com/bp4DefSUpJ",joy
"Earth provides enough to satisfy every man’s needs, but not every man’s greed"". 
- Mahatma Gandhi

#WorldEnvironmentDay #StayHomeStaySafe #RightAngleProperty #Bangalore #socialdistancing #physicaldistancing #RealEstateInvestment #unlock1 #bengaluru pic.twitter.com/lM6vQc3HVB",anger
"It is important to maintain physical distancing along with social distancing.
Take care and stay safe guys..

#StayHomeStaySafe #RightAngleProperty #Bangalore #socialdistancing #physicaldistancing #RealEstateInvestment #unlock1 #bengaluru pic.twitter.com/WuHquBK7F0",joy
In Unlock 1.0 I will go to NANDI HILLS with my frnd @Rawritz . It is best place to see Sunset and Sunrise on top of the hill with scenery of forest and Bangalore city photo snap in cameras #Unlock1 #weeklycontest,joy
"In Unlock 1.0 I will go to NANDI HILLS with my frnd @Pooja__G .

I believe its still not safe to travel interstate.We both live in Bangalore nd Nandi hills is a place which cn refresh us,, rejuvenate us & bring us out of the lockdown sickness.

#Unlock1 #weeklycontest
#cnbcontest",joy
"Expert advice on the vehicle maintenance during COVID-19
Read more -  http://shorturl.at/jmvPU 
#India #Doers #carservice #Covid19 #Bangalore #bikeservice #savethevehicle #love #cars #bikes #unlock1.0 #IndiafightsCOVID pic.twitter.com/wuXY2MwdKl",joy
"Odia movie actor brings back labourer""s family stuck in Bangalore by Air Asia flight. #Bhubaneswar #Odisha #Unlock1 @sabyaactor https://www.indiatvnews.com/video/news/odia-movie-actor-brings-back-labourer-s-family-stuck-in-bangalore-by-air-asia-flight-623235 …",sadness
"Bangalore has proved to be one of the best health care model amongst other metropolitan cities in India

Bangalore(Rural+Urban) has reported about 417 #Covid_19 cases with a population more than 1.2 crore

With #Unlock1, Bangalore works further to reduce the transmission",joy
"Loving my curly hair 🌠🌠
. 
. 
. 
#quarantinelife #bangalore #unlock1 #curlyhair #befit pic.twitter.com/U3GKRlsCkE",joy
"While traveling back to Bangalore today, noticed quite a few scaring and satisfactory incidents, thread ahead..(1/n)
#Unlock1
#COVID19India
@myogiadityanath
@CMofKarnataka",fear
@myntra @Flipkart why there r no deliveries from Myntra in Bangalore even at #Unlock1. I am trying to place at 560099 but it says Not Deliverable.  pic.twitter.com/tCsMDXmNoN,disgust
Seva Sindhu portal is updated with new rules #Unlock1 #Karnataka #Bangalore,joy
"The GDP growth of India in the previous Quarter at 4.2% was the lowest in the last 44 Quarters, while the GDP grew at record 10.8% during the UPA era! 

Modi Government is creating historical records of failure! 

#Unlock1 #Karnataka #Bangalore #GDP pic.twitter.com/gjJzigUo5b",sadness
"Domestic returnees fuel rise in K'taka COVID cases

 https://www.outlookindia.com/newsscroll/domestic-returnees-fuel-rise-in-ktaka-covid-cases/1853045 …
@MoHFW_INDIA #COVID19 #Bangalore #Karnataka #southindia #India #pandemic #publichealth #Lockdownextention #Unlock1 #Contagion #Maharashtra #Returnees #Domestic #travel #journey #CovidDeaths #health",anger
"B'luru slowly returning to normal amid phased Unlock 1.0

 https://newsd.in/b-luru-slowly-returning-to-normal-amid-phased-unlock-1-0/ …
#COVID19India #Bangalore #Karnataka #southindia #India #Unlock1 #business #Trade #commerce @SWRRLY @RailMinIndia #AndhraPradesh #Ananthapur #Penugonda #BangaloreRains #publichealth #SafetyFirst",joy
"In unlock 1.0 I will be going to Bangalore with @poetrebelred
#cnbcontest #Unlock1 #weeklycontest",anger
"K #Unlock1
RameshBabu, Bangalore.
Kerala Karnataka border at Wynad Muthabga checkpost and POLICE not got any order about NO E pass approval for Kerala Karnataka interstate travel.Student stranded 2 months.KCET,NEET nearing.Still today no clearity to authority at border.",anger
"#Delhi #Gurgaon #Bangalore #Hyderabad #Mumbai  
 
With #Unlock1 comes the list of places and outlets from where you can grab your favourite #4700bc #gourmetpopcorn. 

For details, join us on Instagram here -  https://www.instagram.com/4700bcpopcorn ",joy
"Hi @SonuSood, I am Founder & CEO of @yolobusindia. We have fleet of AC buses in Delhi, Bangalore & Assam & would like to help out in sending people back to their homes in all our capacity. Could you ask your team to DM and we will co-ordinate. @MukulSh85548226
#COVID19 #Unlock1",joy
"To be or not to be. That is the question. 

#Lockdown #Lockdown5 #Unlock1.0

#India #Coronavirus #Qurantine #Bangalore #MondayMorning #Monday pic.twitter.com/paIkRGY5v7",anger
For all those who are traveling to #Bangalore and planning so in near future. #Unlock1  https://twitter.com/ANI/status/1267100693480931328 …,joy
"People -  #Unlock1 me ye khulega , wo khulega.

Bangalore traffic -  pic.twitter.com/3zsgip4aA1",anger
"#BREAKING : 
New #Corona cases Reported on 
17 June 2020 in

#TamilNadu - 2174

#Chennai - 1276

#CoronaVirusUpdates #TNCoronaUpdate
#TN_Together_AgainstCorona #StayHome #Unlock1",sadness
"Nearly 52% of Kolkata residents favour total lockdown for another month, says survey. Delhi, Chennai & Mumbai residents have also asked for a complete shutdown
#Kolkata
#lockdownextension
#Unlock1
#IndiaFightsCoronavirus https://bulletinhours.com/nearly-52-of-kolkata-residents-favour-total-lockdown-for-another-month-says-survey …",disgust
"Effectively, Chennai has taken 6 steps backwards.
From centre's #Unlock1 guidelines, have gone below #Lockdown1 with stricter restrictions:

1. No grocery and veg/fruit shops on Sundays
2. Closure of banks (except Jun 29&30)
3. Can't use vehicles to shop.",joy
#Lockdown6 inside #Unlock1. A new level of stupidity in Chennai Area: for 12 days from June 19. Do read  https://frontline.thehindu.com/dispatches/article31834062.ece …,sadness
"Chennai government had decided for another Lockdown from 19 june to 30th June.  
#LockdownFailed #TamilNadulockdown #Unlock1 #CoronavirusIndia #coronavirus",sadness
"Total lockdown again in Chennai and surrounding districts. Will this stop the disease in its tracks? What happens after July 1st? Many  questions remain unanswered...#Unlock1 #lockdown
#Lockdown5 #lockdownextension #ChennaiLockDown https://www.timesnownews.com/chennai/article/covid-19-scare-total-lockdown-in-four-tamil-nadu-districts-including-chennai-from-june-19-to/606756 …",fear
"#BREAKING : 
New #Corona cases Reported on 
14 June 2020 in

#TamilNadu - 1974

#Chennai - 1415

#Discharged - 1138

#Deaths - 38

#CoronaVirusUpdates #TNCoronaUpdate
#TN_Together_AgainstCorona #StayHome #Unlock1",sadness
"Clear Do's & Don'ts are needed for #IndiaFightsCorona 🤔👇
#IndiaFightsCOVID19 #Delhi #mumbai #Pune #Bengaluru
#Chennai #Modi #chembur #COVID19India #Thane #UP #CoronavirusIndia #Indian #Maharashtra #Unlock1
#LockdownFailed #Gujarat
#Lockdown5 #ICMR #IndiaFightsCoronavirus 😷 pic.twitter.com/vJuuvTJCmk",sadness
"#BREAKING : 
New #Corona cases Reported on 
13 June 2020 in

#TamilNadu - 1989

#Chennai - 1484

#Discharged - 1362

#Deaths - 30

#CoronaVirusUpdates #TNCoronaUpdate
#TN_Together_AgainstCorona #StayHome #Unlock1",sadness
"#BREAKING : 
New #Corona cases Reported on 
12 June 2020 in

#TamilNadu - 1982

#Chennai - 1477

#Discharged - 1342

#Deaths - 18

#CoronaVirusUpdates #TNCoronaUpdate
#TN_Together_AgainstCorona #StayHome #Unlock1",sadness
"What is #HomeQuarantine 👇
#Mumbai #Delhi #Lucknow
#Chennai #Bengaluru #Indore
#India #Rajasthan #haryana
#Indians #lockdownindia 🔒
#Unlock1 #Modi #Mumbaikar
#Pune #TamilNadu #Jaipur
#Kolkata #UP #Ahmedabad
#Gujarat #Maharashtra #thane #Indian #chembur #navimumbai #Gurgaon pic.twitter.com/hTFHSL5FlN",sadness
@RailwaySeva dear sir this is 4th time I am asking same question when reservation counter will open in chennai as I had booked bulk ticket for my marriage and same need to cancel and get my refund .unlock1 already started but there is no news about this,sadness
"#BREAKING : 
New #Corona cases Reported on 
11 June 2020 in

#TamilNadu - 1875

#Chennai - 1406

#Discharged - 1372

#Deaths - 23

#CoronaVirusUpdates #TNCoronaUpdate
#TN_Together_AgainstCorona #StayHome #Unlock1",sadness
Now it seems that Your First line of tweet will remain same...Highest single.....! Oh god pls take away 2020. #COVID19India #Chennai #Tamilnadu #COVID__19 #Unlock1,sadness
"#BREAKING : 
New #Corona cases Reported on 
10 June 2020 in

#TamilNadu - 1927

#Chennai - 1390

#Discharged - 1008

#Deaths - 19

#CoronaVirusUpdates #TNCoronaUpdate
#TN_Together_AgainstCorona #StayHome #Unlock1",sadness
#Chennai #COVID__19 #Unlock1  pic.twitter.com/iyBIunVMIk,anger
"#IndiaFightsCorona #CoronaOutbreak #Unlock1 #COVID19 #SocialDistancing #SocialDistancing2020
#Chennai | #Radhakrishnan | #Lockdown pic.twitter.com/CO3KGmDcv4",anger
"#BREAKING : 
New #Corona cases Reported on 
9 June 2020 in

#TamilNadu - 1685

#Chennai - 1242

#Discharged - 798

#Deaths - 21

#CoronaVirusUpdates #TNCoronaUpdate
#TN_Together_AgainstCorona #StayHome #Unlock1",sadness
"Salons in Chennai charging safety and Hygiene fees! Times has changed, this is the new normal! 

#Coronavirus #Unlock1 #Lockdown pic.twitter.com/SvFoF3hNnC",sadness
"#Chennai #restaurants' #reopening takes a slow start due to rise in #coronavirus cases

 https://www.galatta.com/tamilnadu-corona-news/chennai-restaurants-slow-start-post-lockdown.html …
#Unlock1 #unlockone #UnlockingIndia #covid19 #TamilNadu",sadness
"#TamilNadu Govt. issues New Guidelines for Reopening #Hotels and #Restaurants! Details Listed
#Unlock1 #COVID19 #Coronavirusoutbreak #Chennai
 https://www.behindwoods.com/news-shots/tamilnadu-news/tn-govt-issues-guidelines-for-reopening-hotels-and-restaurants.html …",sadness
#Unlock1.0: Chennai salons to put safety before beauty  http://toi.in/qrC6wY ,joy
"Coming up at 8 & 9 pm | Inside Saravana Bhavan in Chennai, forum mall in Bengaluru, Dadar market in Mumbai and Select City Mall in Delhi, we bring you special reports on how day one of #Unlock1 panned out  

@ShereenBhan @TimsyJaipuria @archanajsr @JudeSannith24 @MugdhaCNBCTV18 pic.twitter.com/oEiJWSmzIQ",joy
"Watch | As restaurants reopen today in various parts of the country, here's what the new normal looks like. A report by @jsamdaniel from #Chennai. 

#Unlock1  pic.twitter.com/cgvYsvDZdD",joy
"#BREAKING : 
New #Corona cases Reported on 
8 June 2020 in

#TamilNadu - 1562

#Chennai - 1149

#Discharged - 528

#Deaths - 17

#CoronaVirusUpdates #TNCoronaUpdate
#TN_Together_AgainstCorona #StayHome #Unlock1",sadness
Please avoid going to #temple. Explanation in this video. #Unlock1 #tamil #tamilnadu #chennai #corona #covid19 #LockdownFailed #youtuber #india #Quarantine https://youtu.be/qWt1fVzTxlY ,anger
"ndia unlock 1.0 with strict rules and measures.
#corona #unlock #unlock1.0 #workfromhome #lockdown #India #shoopy #Indiafightscorona #accounting #invoice #onlineshop #smallbusiness #shoopyapp #free #smallbusiness #supports #unlocking #chennai #banglore #hyderabad #mumbai #Noida pic.twitter.com/IicyMf0q2R",joy
"#TamilNadu  Govt. issues New Guidelines for Reopening Hotels and Restaurants! Details Listed
#Unlock1 #Coronavirusoutbreak #Chennai #TamilNaduCoronaupdate https://www.behindwoods.com/news-shots/tamilnadu-news/tn-govt-issues-guidelines-for-reopening-hotels-and-restaurants.html …",sadness
"Please help him. He suck in Chennai since lockdown started... His flight got cancelled, He tried for train & road transport but nothing works @MumbaiPolice @Sonusood @MiraRdHelpline @MiraRoadNews1 @iNarendraMehta @connectGEETA #Lockdown5 #Unlock1 #unlock2 #Covid_19 #coronavirus https://twitter.com/_PravinMaurya/status/1269880819213975554 …",sadness
"Top -7 most affected Indian states/dist. in terms of affected cases
1. Mumbai - 48774
2. Delhi - 28936
3. Chennai - 22149
4. Ahmedabad - 14285
5. Thane - 13014
6. Pune - 9705
7. Indore - 3749
#CoronavirusInIndia #Unlock1 #COVID19India",sadness
@Ashwini_Raje guess chennai delhi n mumbai itching for this from today..praise the #Unlock1 #unlockone #unlockone,sadness
@CMOTamilNadu @EPSTamilNadu @Vijayabaskarofl @DrBeelaIAS @SPVelumanicbe MUST BE DONT impliment #Unlock1 its Danger for chennai like city. Graph was lesser #lockdown1 see now DAILY MORE CASES. DONT IGNORE PUT LOCKDOWN  AGAIN STRICT SAVE #CHENNAI @ChennaiTimesTOI @ThanthiTV,fear
@CMOTamilNadu @EPSTamilNadu @Vijayabaskarofl @DrBeelaIAS @SPVelumanicbe MUST BE DONT impliment #Unlock1 its Danger for chennai like city. Graph was lesser #lockdown1 see now DAILY MORE CASES. DONT IGNORE PUT LOCKDOWN  AGAIN STRICT SAVE #CHENNAI @ChennaiTimesTOI @ThanthiTV,fear
@CMOTamilNadu @EPSTamilNadu @Vijayabaskarofl @DrBeelaIAS @SPVelumanicbe MUST BE DONT impliment #Unlock1 its Danger for chennai like city. Graph was lesser #lockdown1 see now DAILY MORE CASES. DONT IGNORE PUT LOCKDOWN  AGAIN STRICT SAVE #CHENNAI @ChennaiTimesTOI @ThanthiTV,fear
@CMOTamilNadu @EPSTamilNadu @Vijayabaskarofl @DrBeelaIAS @SPVelumanicbe MUST BE DONT impliment #Unlock1 its Danger for chennai like city. Graph was lesser #lockdown1 see now DAILY MORE CASES. DONT IGNORE PUT LOCKDOWN  AGAIN STRICT SAVE #CHENNAI @ChennaiTimesTOI @ThanthiTV,fear
@CMOTamilNadu @EPSTamilNadu @Vijayabaskarofl @DrBeelaIAS @SPVelumanicbe MUST BE DONT impliment #Unlock1 its Danger for chennai like city. Graph was lesser #lockdown1 see now DAILY MORE CASES. DONT IGNORE PUT LOCKDOWN  AGAIN STRICT SAVE #CHENNAI @ChennaiTimesTOI @ThanthiTV,fear
@CMOTamilNadu @EPSTamilNadu @Vijayabaskarofl @DrBeelaIAS @SPVelumanicbe MUST BE DONT impliment #Unlock1 its Danger for chennai like city. Graph was lesser #lockdown1 see now DAILY MORE CASES. DONT IGNORE PUT LOCKDOWN  AGAIN STRICT SAVE #CHENNAI @ChennaiTimesTOI @ThanthiTV,fear
@CMOTamilNadu @EPSTamilNadu @Vijayabaskarofl @DrBeelaIAS @SPVelumanicbe MUST BE DONT impliment #Unlock1 its Danger for chennai like city. Graph was lesser #lockdown1 see now DAILY MORE CASES. DONT IGNORE PUT LOCKDOWN  AGAIN STRICT SAVE #CHENNAI @ChennaiTimesTOI @ThanthiTV,fear
@CMOTamilNadu @EPSTamilNadu @Vijayabaskarofl @DrBeelaIAS @SPVelumanicbe MUST BE DONT impliment #Unlock1 its Danger for chennai like city. Graph was lesser #lockdown1 see now DAILY MORE CASES. DONT IGNORE PUT LOCKDOWN  AGAIN STRICT SAVE #CHENNAI @ChennaiTimesTOI @ThanthiTV,fear
@CMOTamilNadu @EPSTamilNadu @Vijayabaskarofl @DrBeelaIAS @SPVelumanicbe MUST BE DONT impliment #Unlock1 its Danger for chennai like city. Graph was lesser #lockdown1 see now DAILY MORE CASES. DONT IGNORE PUT LOCKDOWN  AGAIN STRICT SAVE #CHENNAI @ChennaiTimesTOI @ThanthiTV,fear
@CMOTamilNadu @EPSTamilNadu @Vijayabaskarofl @DrBeelaIAS @SPVelumanicbe MUST BE DONT impliment #Unlock1 its Danger for chennai like city. Graph was lesser #lockdown1 see now DAILY MORE CASES. DONT IGNORE PUT LOCKDOWN  AGAIN STRICT SAVE #CHENNAI @ChennaiTimesTOI @ThanthiTV,fear
@CMOTamilNadu @EPSTamilNadu @Vijayabaskarofl @DrBeelaIAS @SPVelumanicbe MUST BE DONT impliment #Unlock1 its Danger for chennai like city. Graph was lesser #lockdown1 see now DAILY MORE CASES. DONT IGNORE PUT LOCKDOWN  AGAIN STRICT SAVE #CHENNAI @ChennaiTimesTOI @ThanthiTV,fear
@CMOTamilNadu @EPSTamilNadu @Vijayabaskarofl @DrBeelaIAS @SPVelumanicbe MUST BE DONT impliment #Unlock1 its Danger for chennai  now DAILY MORE CASES. DONT IGNORE PUT LOCKDOWN  AGAIN STRICT SAVE #CHENNAI @News18TamilNadu @PTTVOnlineNews @ChennaiTimesTOI @ThanthiTV @MoHFW_INDIA,fear
@CMOTamilNadu @EPSTamilNadu @Vijayabaskarofl @DrBeelaIAS @SPVelumanicbe MUST BE DONT impliment #Unlock1 its Danger for chennai like city. Graph was  #lockdown begining. see now DAILY MORE CASES. DONT IGNORE PUT LOCKDOWN  AGAIN STRICT SAVE #CHENNAI @ChennaiTimesTOI @ThanthiTV,fear
"#BREAKING
New #Corona cases Reported on 
7 June 2020 in

#TamilNadu - 1515

#Chennai - 1155

#Discharged - 604

#Deaths - 18

#CoronaVirusUpdates #TNCoronaUpdate
#TN_Together_AgainstCorona #StayHome #Unlock1",sadness
"#BREAKING
New #Corona cases Reported on 
7 June 2020 in

#TamilNadu - 1515

#Chennai - 1155

#Discharged - 604

#Deaths - 18

#CoronaVirusUpdates #TNCoronaUpdate
#TN_Together_AgainstCorona #StayHome #Unlock1",sadness
"Unlock 1.0: Restaurants to open in TN! You must know these guidelines before dining in!
#TNGovt #TNLockdown #Unlock1 #COVID19India #Chennai
 https://www.thenewstuff.in/unlock-10-restaurants-open-tn-you-must-know-these-guidelines-dining …",anger
"With #India #Unlock1, work and movement of people has resumed. But the way things are in #Mumbai, #Delhi & #Chennai; it seems those going out daily, should #WearAMask & maintain some social distancing *at home* as well.

Because of high %age tests positive:
#Mumbai 20%
#Delhi 10%",joy
"New #Corona cases Reported

IN #TamilNadu on 6 June 2020 - 1458
#Chennai - 1146
#Discharged - 633
#Deaths - 19

#CoronaVirusUpdates #TNCoronaUpdate
#TN_Together_AgainstCorona #StayHome #Unlock1",sadness
"#positive aspects of #lockdown 5.0 / #Unlock1 in #Chennai: 🥥 water from around the corner #mango 🥭 javari from an organic farm in AP, have a relaxing #weekend #AndhraPradesh #Puducherry #TamilNadu #Telangana #Hyderabad #StayHealthy #WashYourHands #PhysicalDistancing #WearAMask pic.twitter.com/8gTLnUwQDr",joy
"Add Chennai, Kolkata to the list. In all metros things have gone out of control. Rest of the cities will explode after #Unlock1  https://twitter.com/GabbbarSingh/status/1269101431459467264 …",anger
"New #Corona cases Reported

IN #TamilNadu on 5 June 2020 - 1438
#Chennai - 1116
#Discharged - 861

#CoronaVirusUpdates #TNCoronaUpdate
#TN_Together_AgainstCorona #StayHome #Unlock1",sadness
Reviewed our close #cooperation between #lockdown + #Unlock1 with departing @DAADIndia #Chennai director 🇮🇳🇩🇪 #indogerman #academic #exchange #AndhraPradesh #Puducherry #TamilNadu #Telangana #Hyderabad @iitmadras @VIT_univ @IITHyderabad @aufastupdates @PondiUniVC @GurmeetSinghVC pic.twitter.com/3wfyIYjdCY,sadness
"Tamil nadu CM on Tuesday made it mandatory for the service providers to collect and maintain a record of the Name, phone no., address & Aadhaar no. of the customers for salons, beauty parlours and spas.
#Chennai #TN_Together_AgainstCorona #Unlock1 #tamilnadu #thevivran #COVIDー19 pic.twitter.com/6720gjiEKu",joy
"#Chennai City Corporation cancels the system of allowing home isolation for some Covid-19 patients. All patients irrespective of their symptoms and their immediate contacts will be shifted to Covid care centres

#Unlock1 #Chennai #COVIDー19 #TNCoronaUpdate #covid19tamilnadu",sadness
"We have flattened the wrong curve, the #economic curve.""
- #RajivBajaj
#Unlock1 #IndiaFightsCorona #Chennai #COVIDー19 #TNCoronaUpdate #covid19tamilnadu #Trichy #Madurai #Coimbatore #Tirunelveli #Nagercoil #Kanyakumari",sadness
"Avoid visiting crowded places as a part of the new normal. Let us all follow distancing norms to stay safe.

#Unlock1 #IndiaFightsCorona #Chennai #COVIDー19 #TNCoronaUpdate #covid19tamilnadu #Trichy #Madurai #Coimbatore #Tirunelveli #Nagercoil #Kanyakumari pic.twitter.com/35IPt5aZHx",joy
"Twitter fam, what are the rules/guidelines for quarantine for someone travelling from Chennai to Bombay? 

Is it a home quarantine/institutional quarantine or both? Need this urgently for someone I know. RT and help?

#Mumbai @MumbaiPolice @CMOMaharashtra #Unlock1",joy
"#TamilNadu | Salons and beauty parlours reopen in #Chennai following relaxations in lockdown; state govt has asked beauty parlours and salons to collect details of customers including Aadhaar number, phone number and address. 

#Unlock1 #coronavirus #COVID19 #CoronaVirusUpdates pic.twitter.com/IKS2J9e0VT",joy
"Tamil Nadu: Salons and beauty parlours reopen in Chennai following relaxations in lockdown; state govt has asked beauty parlours and salons to collect details of customers including Aadhaar number, phone number and address. #Unlock1  pic.twitter.com/10R141m6Ob",joy
