,index,labels,tweet
183,304,sadness,  girl im so down but ya gotta let me know so i can get my kit together  i got a flyer  any next weekend im down
184,305,sadness, dbl booooooo for being sick flippin blows  bahaha i kno i dont have many friends on here either i feel so lame  haha
185,309,sadness,feels sick to my stomach and idkk whyy
186,312,sadness,jodie um i was thrown from s van yesterday and had to be taken to the er
187,315,happiness,fb is boring   and i wanna sing right now 
188,316,sadness,  the link doesnt work
189,319,worry,last day at worksick to the bone
190,321,neutral,love is like a wareasy to begin hard to endfiuuhh
191,323,happiness, must have new music i wont sleep until you give us chapter  i might die first though  hurry
192,324,sadness,my stupid tooooth hurts
193,325,love, love the song together thats his song for mewell i think its still is
194,332,worry,im back top molar extracted  swollen face all numb  but no more toothache or sinus pain
195,333,worry,does anyone know any good rap songs i need to make a rapfun cd and i have no idea  helllllpppp
196,334,love,i want to go to peru this summer ahhhhhhh hopefully yesyesyes i miss it over there
197,337,worry,my mobile phone refuses to charge  either the battery is broken or the chargerrr  booooo
198,338,worry, oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something
199,340,sadness,morning everyone sorry for going early last night had bad news felt totally    today is a new day
200,341,sadness,how i wish my parents put me into a chinese school when i was younger then itll be so much easier for me to get a job
201,342,neutral, airport and you didnt show up tonight 
202,343,worry, jealous  it looks like schindlers list in toronto
203,345,sadness,  being in your room makes me sad
204,346,worry,nearly fell asleep but was jolted out of bed by a massive panic attack and now im not sure if i can sleep at all
205,347,neutral,for the gays i only made  tonight
206,348,sadness, oh  i completely forgot about thirsty thursday oh my gaga this sucks
207,349,sadness,if one people did any wrong the world blames all the people over there this is the great world which we are living in  
208,354,sadness, sorry bout the cat
209,357,love,pug just woke me from an incredible sleep
210,358,love, i cant wait to hear your new album im sure will be amazingplease just replay to me  i love you so much
211,360,sadness,missed iron chef
212,362,sadness,what a bad day
213,363,worry,ugh my internet was down
214,365,neutral,the week just wasnt the same without an adam lambert performance
215,366,neutral, the link doesnt work
216,369,neutral,smh  hiphop nursery rhymes
217,370,worry,somebody please save the polar bears
218,371,happiness, noooooooooooo i just look at a lot of pictures   lol lol
219,372,worry,it has come to my attention from a yo friend that ive recently gained a ton of weight he didnt know it was me
220,374,sadness,went to the cd store to search for the cd but
221,375,worry, reminds me of the weather a month ago it was horrible  i hope all is well hugs
222,376,sadness,i miss my mom  may angels lead you in
223,377,love,theres really no android twitter app of tweeties calibre
224,379,sadness, i feel the same way every day
225,382,sadness,sleppytime really missing my godfather right now love you wayne
226,383,sadness,so have a headache right now and it sucks
227,384,worry, hope ya sleepin well  guys still here
228,385,sadness, lakers baby lakers ill miss the game tmwr i have to work  youll have to keep me posted please
229,386,sadness,comfort food of the day pan mee though it didnt taste any good
230,387,worry, being drunk and hot sucks
231,388,sadness,misses my baby
232,391,worry,midnight cry wish the person i wanted wanted me right now
233,392,neutral, ima need you to follow me real quick cause i cant dm you
234,393,sadness,im poorly and cant sleep
235,394,worry,went to pole class feeling discouraged i am hopeless when it cones to dancing or sexy moves or spreading my legs
236,396,worry,  if i told you how often i wash my hair you would never speak to me again
237,397,worry,looks like another sleepless night dedicated to homework sorry in advance ms chapman
238,399,worry,didnt say goodnight to you
239,400,sadness,has work tom
240,403,love,the pics i just uploaded are the baby pics of my cats missy is now an adult and a pretty little kitty but batty is in kitten heaven now
241,407,sadness,sometimes the things you say hurt the ones you love most unintentionally  and you can never ever take it back or fix it
242,410,sadness,having fever  dont feel to work
243,411,worry,taking horse pills hoping i can get some sleep tonight
244,412,neutral, pgpm student from where i myself was a pgpm student about  years back i wish i could stay one
245,413,sadness,missing  days cant pass quick enough
246,414,sadness,working from home today my back is killing me  doctor and then physio after later today
247,415,neutral,back to work with no distractions
248,416,happiness, demi just say hi to me and its enough just replay to me please  love you so much
249,420,neutral, did you guys keep a set list i forgot to ask for one  
250,421,neutral,first impression of silverlight sadly based on what i saw today its quite problematic
251,422,worry,is desperatly hoping my dad takes me to vanessas game
252,424,sadness,missing you all deeply
253,425,neutral,the time you go to bed  i have to get up to go to work
254,426,happiness, big now vanessa is going to be  in september its going by so fast  its hard cuz im workin so much i miss out on alot
255,427,sadness, sniff sniff  take care ravels hopefully well be chatting again soon in the mean time ill hella miss you
256,428,neutral,cheryl lucky now i want to teleport
257,429,worry,somebody please save the polar bears
258,430,worry,my nose is runny my head is pounding and teeth hurt like a  man  i feel awful  
259,431,sadness,i dont want her to leave
260,432,happiness,good lord just seen the agency work for our upcoming open day money for jam
261,433,worry,at the grove for drag me to hell i hope that it doesnt suck
262,434,worry, so i feel like  for saying happy belated birfdayy im only a month late
263,435,sadness, lmaothats sad kinda discourages me rom goin if the  wack
264,436,sadness, i wish i was there
265,438,neutral,fc is finally up again its about time i hate that this keeps happening
266,440,sadness,morning again i hate mornings so offensive
267,442,sadness,bed bed bed  do you never answer texts anymore  i thought of you the other day and sent one but never heard back sad day
268,443,neutral,where u at
269,444,sadness, waah were no longer your peeps
270,445,sadness,yo lol wow dawg doesnt sound like youre playing  i feel bad now haha
271,446,happiness,my little foster kittens are getting bigchubba and winston are going  b missed when they get amazing homes
272,451,sadness, im sorry about your bad driving experiences
273,452,neutral, i dont have any of that
274,453,sadness,already misses 
275,455,worry,i knew i shouldve worn the sars mask on the plane from socal feeling the beginnings of a sore throat
276,457,neutral, july too long
277,458,worry, awww i wish i could have been there  im stuck here about to jab out my eyes with knitting needles
278,459,neutral,wearing glasses gives me a headache
279,461,sadness,thank you   cant wait ummm btw ima crash still sick
280,462,sadness,first my work computer now my home laptop is 
281,467,neutral, but  is on page  at ms twitterworld only  votes
282,469,worry,  your twitter is broken
283,471,sadness, its depressing im stuck inside all day
284,473,sadness,i hate being sick i miss   and 
285,475,happiness,getting ready for school  second maths test today  also its my last day of rd year next week i will officially be in th year
286,476,sadness,woke upi wanna stay in my bed
287,477,worry,depressed that i wasnt included in the morcom gardens quiz on facebook
288,479,sadness,upsidedown tomato plants died
289,480,worry, oh come on you get next week off and i get next week full of exams
290,481,neutral,friday here at last not much fun when your skint though
291,482,worry, i know dont tell anyone  i dont know if my dad told the famz yet i think im taking it online
292,483,sadness, caant iht be earlier icant wait that long  ahar 
293,484,happiness,friday yay and a bonus dont have to drive to wales tonight  athough will miss kitten cuddles and going for a ride
294,485,worry,my children have promised me birthday brekkie in bed theres a problem with that in that theres bugger all food in the house
295,486,worry, woops i only just realized my dms to you are not going through
296,487,neutral,i dont think i will be able to get out of bed tomorrow morning  we will seeeee
297,489,sadness, why do you hate me
298,491,sadness,httptwitpiccomvr  wanted to visit the animals but we were too late
299,492,worry, pc i agree  we have a problem we must stop spending and only work
300,493,sadness,jonaswebcast i just missed it
301,496,sadness,im gonna miss all the live comet action tomorrow i have to go take care of my cousins and they dont have access to the interwebz
302,497,sadness, sorry to hear that
303,498,worry,morning sports day today and i have to do the threelegged race with    mr pettigrew said im not aloud to trip her up
304,499,sadness,just found out i cant drink at this bar booo missing e at palominos no cheers sad face
305,501,worry,omg going to die of swine flu when i go to melbourne
306,502,neutral,xo   dang it so its not certain    are you okay
307,504,sadness,finished a whole box of ice cream
308,508,love,photo martwo omg i love you i accadentally deleted this photo  yay hes so beautiful httptumblrcomxvdwankt
309,509,worry, i knooww   my hot water bottle iss in whangamata without me ahhhhh
310,510,neutral,my nose is stuffy
311,512,happiness,ok other then my shoe the club is cool its fun and its poppin except  the ppl tryna dance wit me
312,513,worry,holy  its raining in la and i dont have a jacket  oh no
313,517,happiness, lol hi emmy latin would help me study for the aptitude tests to get into grad school  thats why i wanna take it
314,518,sadness, btw i am not a wimp
315,520,worry, no i was trying to interview dr paul twomey ceo of icann phone issues cut the interview from  mins to 
316,521,sadness, i cant add you on myspace girly  it asks for a last name and email
317,522,worry, dont think i can take a needle watched a horribly gory short film on drugs a few months ago im scarred for life
318,523,sadness,i dont wanna go back to work   sleepy time
319,525,neutral,watching the biggest loser on hallmark never fails to make me cry  nyeh
320,528,neutral,still confuse
321,530,worry, thats better than missy  telling me i should be on the biggest loser
322,531,sadness,httpbitlyww  noooo he goes for orlando omg  im gonna cry
323,534,love,good time rocking out  open mic thanks  all the love n support now working on business plan presentation no cg again nite
324,537,sadness,i miss my friend
325,539,sadness,yea i just saw this really sad commercial
326,540,sadness,hmmm using tinytwitter on a small nontouch screen is really not much fun
327,542,love, oh i love em but when i think about the kind of preservatives theyre using to stay justbaked it kinda makes me sick
328,544,worry, my new lens isnt working it worked for a bit and now gives an fee error
329,546,worry,back at school again almost weekend oh wait i gotta work from eight to four tonight
330,548,sadness,even though everyone wanted to do a newish song and our teacher agreed s old grumpy doesnt like us happy  haha
331,551,sadness, ya i was suffering the whole day yesterday met dentist and feel a bit better i still look like rocky balboa though
332,553,neutral,ups ketauan cabut nih gimana dong
333,558,worry,at rocky cola diner in whittier tonight with teacher pal mr b we had a great time chatting but no one else came
334,559,neutral,off to bed still exhausted from vegas
335,560,love, lol very true maybe next year i loooved that siggy and i dont remember what the password for the mod thing was  cake
336,561,worry,ummm sooo yehits really hard to concentrate rite now wen i have this weird lupus feeling goin thro my body
337,562,worry, httptwitpiccom  ouch that looks so painful
338,565,sadness, not yet sorry
339,569,sadness,fall asleep on me again  but i know how it feels now lol drag me to hell tonight quite excited
340,570,worry,god i cant even catch public transport swine flu is  house
341,573,love,hahaha alright  
342,575,sadness,um so i dont think my text msgs have a subject line  i fail
343,576,sadness,tummy ache
344,577,love,wants see my friends   httpplurkcompwxnwa
345,578,worry, youre so far away i dont know what to do
346,581,neutral, unless that invite comes with a beta key im not going to be much help
347,583,sadness, im sorry andrew i wish there was something i could do
348,584,sadness,as if i finsh work at eleven is that even allowd  cauz i really dont want to lol
349,585,sadness, im not at chasetons either  please dont die my heart will be really sad
350,586,happiness,that was an interesting show to say the least recap tomorrow first i must sleep work in am
351,588,worry,very sad please get better grandma
352,590,worry,gosh todays weather is horriterrible extreme hotness im losing a lot of water weight by doing nothing   httptweetsg
353,591,worry,is taking a moment to reflecti want my annonymity backfb  is it safe to say anything about someone else to another friend again
354,596,neutral, i dont even have a wii b likes xbox so thats what we have  do you use it
355,599,sadness, just one of those days where loneliness creeps up on you slaps you in the face
356,600,sadness,rip kelly  fucccccck
357,603,love,viola love it by the way i didnt end up having time to go this week  im sooooo sorry next week for sure
358,605,sadness,not feeling too good
359,607,neutral,fakin kishajust my luck
360,610,sadness,i miss oklahomaaaaa  listening to citizen cope til i pass out
361,611,neutral,so tenseso emotionalso not me
362,615,worry,feels like im going to cough up a lung
363,616,sadness,its funny im kinda sad on my last day
364,619,sadness,jenny fell asleep and didnt come over
365,620,worry, why do we love those that we cannot have
366,622,worry,i lost  followers over night nobody likes me
367,624,worry,i want a new phone  ive seen too much cellphone commercials 
368,626,worry,this time i really need to shut it im going to sleep my head aches badly and i really cant take it
369,629,sadness, i do  but im on a strict diet   ugh i feel like if i cheat for one day ill throw everything up
370,630,worry,oh no hubs is so sick i hope i dont catch it
371,634,sadness,so cal dachshund rescue found a home for my foster pup max im soooooo sad to see him leave
372,635,sadness,wow i feel like ish  and i really feel bad because those ignorent aholes wont overturn prop 
373,636,sadness,off to work now finish about pm  booooo
374,640,sadness,maybe i should take up drinking again feel as if i have a massive hangover  still not yself today
375,641,worry,i have a really bad head ache  gonna go to bed i might be back maybe not bye bye
376,642,worry,friends from travellers tales held a farewell party for me but i kinda disappointed them that i would still be here until sep my fault
377,643,neutral, ooh maggi goreng yums i cant eat sore throat cmin
378,644,neutral, morning hon what you having for breakfast i cant decide
379,645,sadness,should be sleeping  lost my voice a couple day ago
380,647,sadness,i was too sleepy earlier and i didnt get to see matt
381,648,love,big day day the xt launch was amazing so much free stuff thanx  the edge and telecom found the phone i wantcnt afford it yet tho
382,649,worry, oh yeah im the poorest person of all but i shouldnt joke about that poor other people
383,650,sadness,i just realized i spelled adorable wrong when i tweeted  she must hate me now
384,651,neutral, but now its gone
385,652,worry,mommy oh  well i hope she gets better
386,654,sadness,how to have a glowing face my complexion is always so pale
387,655,sadness,downloadfestivals lineup isnt as good as i thought it was there are some other awesome bands doing the festivals but missing dl
388,656,worry,havent watched gossip girl in ageeees  and need one tree hill season   god im so slow
389,657,love, i hate you  fleetwood is my favorite bandim so jealous  ok i still love you haha
390,659,neutral,ups ketauan cabut sama   nih
391,660,love,i no i no bt i had only been a gamer for like  years when i made that attempt  lol yea i luvd f to an extent 
392,662,worry,  im so sorry  ya gotta let me know ive been booked all week
393,663,happiness, hahaha oh man please come to pomona i would love to see you everyday instead of like once a year if that
394,665,neutral,  maybe a good nights sleep for everyone
395,666,worry,farrrrr  pdhpe assignment due next week and have english homework 
396,667,worry,forgot his access card in the carï¿½too lazy to fetch it
397,670,sadness,oh no my tweetdeck is malfunctioning o il have web will its fixd
398,671,sadness, im sorry about you are still sick  u know most of them and i know that u will guess the pelzer present 
399,672,sadness, adam samberg  new moon trailor  good evening too bad my cable is off as of friday
400,675,neutral, hell yes im too late
401,676,worry,dell fx pcoverip audio device teradici is giving me a hard time in linux ubuntu jaunty  kernel isnt loading the sndhdaintel drv
402,677,sadness,just got my  kicked in tripoly lol  i got such bad cards i suck
403,680,sadness,annnnnnddd another one bites the dust
404,682,worry,  my thoughts dwell on a certain person
405,683,worry,fml my work uniform is on the washing line
406,685,sadness,on my nd written  i get less ideas every day and every day
407,686,worry, naw it doesnt match up lol and i have no shenanigans to discuss  but i did do the thing
408,689,worry,lay aww well i just randomly woke up and now i cant sleep too many things on my mind
409,690,worry, me too baby miss you
410,692,neutral,oh noes  hey whats my tatoo say
411,695,worry,all my pancakes always end up soggy
412,696,worry, very big zongzi for lunch ate more but not work morework less but eat more what  can i do wh it too useless become
413,697,worry,why do none of my thoughts make sense when im sober
414,701,neutral, supposed to be back sun via private jet btwo but mite hav to stay bymyself thnk god for another week   want bruno
415,702,sadness,and trash repops  getting it tomorrow night i suppose
416,703,worry,nursing bruises from motorbike crash on wednesday night leaving london workplace the ground is so much harder the older you get
417,705,neutral,huge headachegoodnight
418,706,sadness,feels like  whenever she lays down  i hate heartburn  backaches
419,707,sadness, i miss you its lonely and empty without you  httpyfrogcomozxoj
420,708,sadness, noice i realised that after exams i have  more weeks  forgot about the whole  weeks of unit  in term  thing 
421,710,sadness,missing everyone
422,712,worry,another build failed something is not right in the big scheme of things
423,714,love,i wish i was going to we love sounds
424,715,sadness,my sisser is moving tomorrow and of makes me sad  actually i guess technically in a couple of hours since its already friday
425,717,neutral, why not
426,722,neutral,ive got to catch the bus to work
427,724,love, funny u havent showed me any love yet at all
428,726,love, i luv urs admitting niley with a kiss  but then they change their minds  haha  demisterling  not jemi but still cute
429,730,sadness,i feel really weird
430,734,sadness,my throat hurts  gonna go read and go to bed text mee
431,735,worry,i am dying to hangout on a friday afternoon
432,737,neutral,mannnn  got an iphone im jealous  httpbitlyngnar
433,738,sadness,fjdskal im really frustrated
434,739,neutral,lord aww you shouldve youtubed it
435,741,sadness,  much more injustice than we can imagine now it will get worse before it gets better i am afraid no doubt here sorry
436,743,sadness,soooim kind of sick n tired of the bs that guys dish out  
437,745,sadness, idk lol my head hurts rly bad  so does my stomach hmm personally i think its from all the s ive had  deal wit
438,749,worry,misses his twitastic fwiends
439,751,neutral,eyes i wish i knew  the curse of tumblr
440,752,sadness,what a beautiful day  shame ive got to spend it in an office
441,753,neutral,business exam tomorrow
442,755,sadness,just finished watching the series return of the chasers war on everything  really quite  compared to how it used to be
443,756,sadness,wow just realized havent checked twitter since am when i saw my todo list good news got lot done bad newsdont know where day went
444,757,sadness,httptwitpiccomb  miss my bestfriend  now she left school
445,758,sadness,tummy hurts
446,759,neutral,back from grimsby  it sucks bein back but was amazin wknd anyway
447,760,sadness,farewelling an employee tonight
448,763,sadness,morning all the water heatings packed up so i cant have a bath i really want a bath
449,764,sadness, girls are confusing
450,765,sadness, lyricallyme   why would you do that to me
451,766,love, seeu shouldnt be comin  the city u should be comin  me
452,767,sadness,blackout in the city is never good
453,768,neutral, aww maybe i traumatized her
454,769,happiness,  flights already booked plus its ggd st birthday cant miss that  especially as we missed ggd
455,772,neutral,ugh too much happened today i really need a hug
456,776,sadness,amind chris and i are staying in glasgow instead cause there is absolutely no accomodation in edinburgh due to the marathon
457,777,love,i cant wait till its sunday a new episode of supernatural but then there are only  episodes left now
458,779,sadness,isfortammy sad tweets are sad
459,782,sadness,have decided i just cant stand s alltop spam any longer
460,784,worry,playn madden with austin im going to miss him
461,785,sadness,i miss rich
462,786,sadness,headache of the century coming i can feel it  
463,787,sadness,disappointed to know that i got the silver award i want the gold award i hate being second best
